session_id,condition_id,participant_id,seq,original_type,t_q_send_ref_ms,t_b_recv_ms,t_b_pub_ms,t_r_recv_ms
S01,C1,P01,228,cmd,1776951587657.022,1776951587659.364,1776951587660.443,1776951587660.642
S01,C1,P01,229,cmd,1776951587711.985,1776951587714.146,1776951587714.859,1776951587715.605
S01,C1,P01,230,cmd,1776951587767.05,1776951587774.814,1776951587775.874,1776951587776.717
S01,C1,P01,231,cmd,1776951587822.938,1776951587824.778,1776951587825.699,1776951587826.558
S01,C1,P01,233,cmd,1776951587879.959,1776951587886.227,1776951587888.071,1776951587889.6
S01,C1,P01,234,cmd,1776951587931.967,1776951587937.334,1776951587938.345,1776951587940.218
S01,C1,P01,235,cmd,1776951587987.982,1776951587991.962,1776951587992.793,1776951587994.284
S01,C1,P01,236,cmd,1776951588044.039,1776951588049.766,1776951588051.362,1776951588052.46
S01,C1,P01,237,cmd,1776951588098.962,1776951588101.632,1776951588102.357,1776951588102.582
S01,C1,P01,238,cmd,1776951588155.016,1776951588159.979,1776951588160.892,1776951588162.611
S01,C1,P01,239,cmd,1776951588209.983,1776951588226.925,1776951588228.087,1776951588236.388
S01,C1,P01,240,cmd,1776951588264.964,1776951588270.185,1776951588272.255,1776951588274.515
S01,C1,P01,241,cmd,1776951588321.036,1776951588322.986,1776951588324.302,1776951588325.173
S01,C1,P01,242,cmd,1776951588377.056,1776951588378.896,1776951588380.21,1776951588380.95
S01,C1,P01,243,cmd,1776951588432.966,1776951588436.754,1776951588438.282,1776951588440.266
S01,C1,P01,244,cmd,1776951588488.042,1776951588492.422,1776951588493.342,1776951588493.418
S01,C1,P01,245,cmd,1776951588542.962,1776951588548.692,1776951588549.853,1776951588550.866
S01,C1,P01,246,cmd,1776951588598.931,1776951588605.01,1776951588606.249,1776951588606.776
S01,C1,P01,247,cmd,1776951588654.992,1776951588664.303,1776951588665.546,1776951588669.601
S01,C1,P01,248,cmd,1776951588710.018,1776951588717.987,1776951588719.265,1776951588723.104
S01,C1,P01,249,cmd,1776951588765.938,1776951588770.775,1776951588771.987,1776951588774.958
S01,C1,P01,250,cmd,1776951588820.92,1776951588822.76,1776951588824.327,1776951588824.54
S01,C1,P01,251,cmd,1776951588876.934,1776951588880.623,1776951588881.585,1776951588883.512
S01,C1,P01,252,cmd,1776951588931.944,1776951588939.048,1776951588940.741,1776951588942.454
S01,C1,P01,253,cmd,1776951588987.927,1776951588991.324,1776951588992.878,1776951588994.294
S01,C1,P01,254,cmd,1776951589044.048,1776951589048.176,1776951589049.492,1776951589049.622
S01,C1,P01,255,cmd,1776951589099.071,1776951589105.891,1776951589107.68,1776951589109.652
S01,C1,P01,256,cmd,1776951589153.995,1776951589157.583,1776951589158.726,1776951589159.58
S01,C1,P01,257,cmd,1776951589209.952,1776951589215.073,1776951589215.883,1776951589217.818
S01,C1,P01,258,cmd,1776951589264.98,1776951589267.65,1776951589268.53,1776951589268.6
S01,C1,P01,259,cmd,1776951589320.945,1776951589322.842,1776951589324.04,1776951589324.741
S01,C1,P01,260,cmd,1776951589376.947,1776951589379.126,1776951589380.629,1776951589380.858
S01,C1,P01,261,cmd,1776951589432.053,1776951589437.367,1776951589438.41,1776951589441.384
S01,C1,P01,262,cmd,1776951589487.929,1776951589492.648,1776951589493.951,1776951589496.572
S01,C1,P01,263,cmd,1776951589544.042,1776951589550.106,1776951589551.194,1776951589553.449
S01,C1,P01,264,cmd,1776951589598.982,1776951589602.182,1776951589603.759,1776951589605.333
S01,C1,P01,265,cmd,1776951589654.002,1776951589656.132,1776951589656.878,1776951589657.622
S01,C1,P01,266,cmd,1776951589710.044,1776951589716.564,1776951589717.881,1776951589721.36
S01,C1,P01,267,cmd,1776951589765.999,1776951589769.674,1776951589770.49,1776951589773.521
S01,C1,P01,268,cmd,1776951589821.024,1776951589826.871,1776951589827.964,1776951589830.515
